Time,Publication_Date,Composite_ 6_Index,Composite_11_Index,Victoria_HPI,Vancouver_HPI,Calgary_HPI,Edmonton_HPI,Winnipeg_HPI,Hamilton_HPI,Toronto_HPI,Ottawa/Gatineau_HPI,Montreal_HPI,Quebec_HPI,Halifax_HPI
1990-07-01,08-Oct,0,0,45.97,55.36,0,0,62.65,0,0,0,59.13,61.71,57.04
1990-08-01,08-Oct,0,0,46.19,54.67,0,0,62.56,0,0,0,58.82,61.79,56.98
1990-09-01,08-Oct,0,0,46.3,54.48,0,0,62.19,0,0,0,58.5,61.81,56.86
1990-10-01,08-Oct,0,0,45.85,54.21,0,0,61.71,0,0,0,57.78,62.42,56.3
1990-11-01,08-Oct,0,0,45.91,55.41,0,0,61.14,0,0,0,57.48,62.55,55.93
1990-12-01,08-Oct,0,0,45.61,54.9,0,0,60.91,0,0,0,57.5,62.71,55.46
1991-01-01,08-Oct,0,0,45.79,54.37,0,0,60.68,0,0,0,57.52,61.79,56.15
1991-02-01,08-Oct,0,0,46.01,52.6,0,0,60.96,0,0,0,57.41,61.65,55.76
1991-03-01,08-Oct,0,0,46.19,53.07,0,0,60.94,0,0,0,57.67,61.44,56.29
1991-04-01,08-Oct,0,0,46.94,54.05,0,0,61.25,0,0,0,58.23,62.11,56.14
1991-05-01,08-Oct,0,0,47.58,55.02,0,0,61.21,0,0,0,58.77,62.16,56.77
1991-06-01,08-Oct,0,0,48.64,55.81,0,0,61.48,0,0,0,58.6,62.37,56.91
1991-07-01,08-Oct,0,0,49.56,56.6,0,0,61.72,0,0,0,58.48,62.49,57.44
1991-08-01,08-Oct,0,0,50.08,57.33,0,0,61.88,0,0,0,57.9,62.05,57.67
1991-09-01,08-Oct,0,0,50.55,57.87,0,0,61.91,0,0,0,57.72,62.14,57.32
1991-10-01,08-Oct,0,0,51,57.81,0,0,61.57,0,0,0,57.83,61.65,56.65
1991-11-01,08-Oct,0,0,51.9,57.94,0,0,61.15,0,0,0,58.03,62.25,56.82
1991-12-01,08-Oct,0,0,52.57,58.25,0,0,61.7,0,0,0,57.79,62.34,57.17
1992-01-01,08-Oct,0,0,53.31,58.82,0,0,61.39,0,0,0,57.49,62.93,57.49
1992-02-01,08-Oct,0,0,53.6,59.31,0,0,61.54,0,0,0,57.7,62.91,57.25
1992-03-01,08-Oct,0,0,54.1,59.77,0,0,60.82,0,0,0,58.21,63.05,57.14
1992-04-01,08-Oct,0,0,54.38,60.47,0,0,61.27,0,0,0,58.52,63.37,57.2
1992-05-01,08-Oct,0,0,54.81,60.99,0,0,61.65,0,0,0,58.39,63.74,57.63
1992-06-01,08-Oct,0,0,54.91,61.5,0,0,62.08,0,0,0,58.15,64.07,58.26
1992-07-01,08-Oct,0,0,55.38,61.83,0,0,62.53,0,0,0,57.55,64.06,58.59
1992-08-01,08-Oct,0,0,55.67,62.34,0,0,62.75,0,0,0,57.29,63.61,58.75
1992-09-01,08-Oct,0,0,56.29,62.72,0,0,62.75,0,0,0,57.15,63.37,58.96
1992-10-01,08-Oct,0,0,56.55,63.37,0,0,62.75,0,0,0,57.13,63.08,59.05
1992-11-01,08-Oct,0,0,57.14,63.94,0,0,62.56,0,0,0,57.17,63.22,58.89
1992-12-01,08-Oct,0,0,57.69,64.59,0,0,62.4,0,0,0,56.67,63.33,58.29
1993-01-01,08-Oct,0,0,57.91,65.14,0,0,62.43,0,0,0,57.01,63.62,58.52
1993-02-01,08-Oct,0,0,58.38,65.55,0,0,62.44,0,0,0,56.93,63.48,58.91
1993-03-01,08-Oct,0,0,58.57,66.23,0,0,62.55,0,0,0,57.47,63.26,59.29
1993-04-01,08-Oct,0,0,59.51,66.94,0,0,62.37,0,0,0,57.56,62.97,59.56
1993-05-01,08-Oct,0,0,60.02,67.43,0,0,62.72,0,0,0,57.9,63.63,59.23
1993-06-01,08-Oct,0,0,60.58,67.89,0,0,63.05,0,0,0,58.04,64.03,59.4
1993-07-01,08-Oct,0,0,60.43,67.98,0,0,63.46,0,0,0,57.81,64.46,59.58
1993-08-01,08-Oct,0,0,60,68.37,0,0,63.53,0,0,0,57.26,63.9,60.07
1993-09-01,08-Oct,0,0,59.94,68.43,0,0,63.56,0,0,0,56.94,63.62,60.17
1993-10-01,08-Oct,0,0,60.21,68.5,0,0,63.3,0,0,0,56.78,63.18,60.09
1993-11-01,08-Oct,0,0,60.42,68.55,0,0,62.97,0,0,0,57.04,63.27,59.86
1993-12-01,08-Oct,0,0,60.53,68.63,0,0,62.96,0,0,0,57.15,62.85,59.88
1994-01-01,08-Oct,0,0,61.1,68.8,0,0,62.89,0,0,0,57.65,62.46,59.59
1994-02-01,08-Oct,0,0,61.66,69.18,0,0,63.24,0,0,0,57.87,61.94,59.8
1994-03-01,08-Oct,0,0,62.4,69.64,0,0,63.35,0,0,0,58.31,62.71,59.64
1994-04-01,08-Oct,0,0,62.46,70.05,0,0,63.74,0,0,0,58.45,63.5,60.04
1994-05-01,08-Oct,0,0,62.54,70.29,0,0,63.97,0,0,0,58.61,64.43,60.37
1994-06-01,08-Oct,0,0,62.44,70.45,0,0,64.08,0,0,0,58.24,64.15,61.02
